No	X	        Y	 Z	 U	 Urms	Amp	Phase	Vout(V)
1.000000	30.000	6.795	140.000	2.853196	0.011511	0.007795	16.059000	0.180873
2.000000	60.000	6.890	140.000	2.200805	0.008239	0.006824	58.956284	0.180872
3.000000	90.000	6.985	140.000	2.174885	0.009168	0.007412	131.765620	0.180844
4.000000	120.000	7.065	140.000	2.040882	0.008422	0.008168	-99.447482	0.180888
5.000000	150.000	7.145	140.000	2.116573	0.009281	0.008635	-41.376287	0.180856
6.000000	180.000	7.190	140.000	2.072951	0.009123	0.009351	-102.544537	0.180890
7.000000	210.000	7.240	140.000	2.089007	0.011577	0.010391	26.837943	0.180833
8.000000	240.000	7.195	140.000	2.066444	0.011078	0.011542	-134.632998	0.180869
9.000000	270.000	7.155	140.000	2.039453	0.010786	0.012754	-37.445111	0.180864
10.000000	300.000	7.010	140.000	1.659091	0.011040	0.013911	19.549147	0.180874
11.000000	330.000	6.870	140.000	1.381887	0.011701	0.015029	11.413714	0.180875
12.000000	360.000	6.865	140.000	1.462925	0.012119	0.015918	-108.057190	0.180858
13.000000	390.000	6.860	140.000	1.389363	0.013068	0.016601	-111.627430	0.180849
14.000000	420.000	6.835	140.000	1.279647	0.012924	0.017217	-112.367117	0.180862
15.000000	450.000	6.810	140.000	1.201264	0.013653	0.017877	-81.437558	0.180840
16.000000	480.000	6.865	140.000	1.194958	0.013894	0.018377	-141.516774	0.180828
17.000000	510.000	6.920	140.000	1.119979	0.013754	0.018427	-99.604906	0.180852
18.000000	540.000	6.840	140.000	1.092021	0.013552	0.018127	-84.040792	0.180871
19.000000	570.000	6.765	140.000	1.115385	0.014003	0.017333	56.617149	0.180854
20.000000	600.000	6.775	140.000	1.129349	0.013000	0.016576	-77.676934	0.180843
21.000000	620.000	6.780	140.000	1.247473	0.012104	0.015349	34.625285	0.180865
