No	X	        Y	 Z	 U	 Urms	Amp	Phase
1.000000	440.000	6.820	140.000	1.490033	0.015792	0.017696	143.864522
2.000000	445.000	6.815	140.000	1.309818	0.014531	0.017982	-172.776263
3.000000	450.005	6.810	140.000	1.220573	0.014757	0.017869	-124.663575
4.000000	455.005	6.820	140.000	1.217301	0.014036	0.017990	-76.626196
5.000000	460.000	6.830	140.000	1.185237	0.013872	0.018017	-28.405361
6.000000	465.000	6.840	140.000	1.222664	0.014099	0.018169	19.117916
7.000000	470.005	6.845	140.000	1.185653	0.014949	0.018173	65.999607
8.000000	475.005	6.855	140.000	1.214097	0.015695	0.018256	114.795003
9.000000	480.005	6.865	140.000	1.186251	0.014996	0.018372	156.039769
10.000000	485.000	6.875	140.000	1.140074	0.014557	0.018328	-150.904412
11.000000	490.005	6.885	140.000	1.145141	0.014186	0.018301	-102.581500
12.000000	495.000	6.890	140.000	1.102021	0.013998	0.018288	-57.552539
13.000000	500.005	6.900	140.000	1.122506	0.014061	0.018391	-10.255680
14.000000	505.000	6.910	140.000	1.099080	0.015270	0.018346	36.763840
15.000000	510.005	6.920	140.000	1.105467	0.014138	0.018481	82.761580
16.000000	515.000	6.905	140.000	1.120994	0.013937	0.018577	125.035688
17.000000	520.000	6.895	140.000	1.091317	0.013865	0.018460	174.615699
18.000000	525.005	6.880	140.000	1.095018	0.014216	0.018390	-135.455055
19.000000	530.005	6.870	140.000	1.089058	0.014659	0.018206	-85.820008
20.000000	535.005	6.855	140.000	1.088403	0.013950	0.017998	-33.649939
21.000000	540.005	6.840	140.000	1.082650	0.013611	0.018061	13.670824
