No	X	        Y	 Z	 U	 Urms	Amp	Phase	Vout (V)
1.000000	180.000	18.765	140.000	5.964956	0.013631	0.000711	-8.187144	0.180896
2.000000	180.000	17.035	140.000	5.959117	0.009698	0.000942	-8.257180	0.180913
3.000000	180.000	15.550	140.000	5.960057	0.006956	0.001207	-9.639059	0.180912
4.000000	180.000	14.275	140.000	5.959984	0.005902	0.001506	-7.721757	0.180876
5.000000	180.000	13.185	140.000	5.960589	0.008576	0.001827	-7.146008	0.180866
6.000000	180.000	11.890	140.000	5.962383	0.007179	0.002285	-7.079890	0.180893
7.000000	180.000	11.580	140.000	5.958005	0.011369	0.002409	-5.759146	0.180866
8.000000	180.000	11.270	140.000	5.957866	0.006164	0.002490	-6.694977	0.180880
9.000000	180.000	10.960	140.000	5.944219	0.006933	0.002543	-5.924524	0.180904
10.000000	180.000	10.650	140.000	5.919991	0.007699	0.002573	-4.894729	0.180882
11.000000	180.000	10.345	140.000	5.895761	0.007304	0.002432	-7.433982	0.180852
12.000000	180.000	10.035	140.000	5.853396	0.011290	0.002097	-11.592331	0.180881
13.000000	180.000	9.725	140.000	5.745307	0.007188	0.001672	-14.805410	0.180875
14.000000	180.000	9.415	140.000	5.613816	0.006616	0.001018	-37.545681	0.180933
15.000000	180.000	9.105	140.000	5.405807	0.010566	0.000820	-109.324891	0.180838
16.000000	180.000	8.795	140.000	5.120980	0.012807	0.001896	-147.223122	0.180891
17.000000	180.000	8.485	140.000	4.749861	0.011681	0.003389	-156.697975	0.180925
18.000000	180.000	8.180	140.000	4.312356	0.008796	0.005028	-160.211267	0.180865
19.000000	180.000	7.870	140.000	3.808067	0.010182	0.006728	-162.349673	0.180906
20.000000	180.000	7.560	140.000	3.242048	0.010442	0.008191	-161.559837	0.180879
21.000000	180.000	7.250	140.000	2.638949	0.011798	0.008962	-161.321484	0.180877
22.000000	180.000	6.940	140.000	1.987421	0.009401	0.008988	-162.891137	0.180857
23.000000	180.000	6.630	140.000	1.321154	0.009698	0.008280	-171.974515	0.180868
24.000000	480.000	24.110	140.000	5.971132	0.005434	0.001002	-42.155783	0.180833
25.000000	480.000	21.570	140.000	5.974438	0.007881	0.001443	-42.906235	0.180815
26.000000	480.000	19.395	140.000	5.977897	0.008348	0.002079	-45.415340	0.180890
27.000000	480.000	17.525	140.000	5.975048	0.007297	0.002751	-43.387087	0.180847
28.000000	480.000	15.925	140.000	5.981734	0.011267	0.003506	-45.275638	0.180886
29.000000	480.000	14.020	140.000	5.984784	0.014699	0.004660	-45.771058	0.180873
30.000000	480.000	13.565	140.000	5.960636	0.006154	0.005020	-33.975990	0.180836
31.000000	480.000	13.115	140.000	5.986915	0.012248	0.005297	-42.302827	0.180847
32.000000	480.000	12.660	140.000	5.971406	0.007271	0.005593	-43.104535	0.180852
33.000000	480.000	12.205	140.000	5.930539	0.009106	0.005662	-35.107574	0.180879
34.000000	480.000	11.750	140.000	5.900653	0.006531	0.005612	-42.554861	0.180837
35.000000	480.000	11.300	140.000	5.820254	0.011061	0.005137	-40.355844	0.180900
36.000000	480.000	10.845	140.000	5.699305	0.007964	0.004365	-42.752619	0.180851
37.000000	480.000	10.390	140.000	5.540442	0.008338	0.003139	-60.406009	0.180871
38.000000	480.000	9.935	140.000	5.272302	0.009706	0.001663	-86.512964	0.180845
39.000000	480.000	9.480	140.000	4.931514	0.006677	0.002101	-163.853155	0.180908
40.000000	480.000	9.030	140.000	4.515878	0.008207	0.004517	168.664348	0.180891
41.000000	480.000	8.575	140.000	4.009265	0.009146	0.007584	159.543315	0.180897
42.000000	480.000	8.120	140.000	3.428109	0.009865	0.011220	157.369794	0.180845
43.000000	480.000	7.665	140.000	2.780050	0.012930	0.014683	170.096920	0.180873
44.000000	480.000	7.210	140.000	2.118586	0.014189	0.017437	163.097184	0.180903
45.000000	480.000	6.760	140.000	1.425440	0.014184	0.018410	163.577663	0.180887
46.000000	480.000	6.305	140.000	0.706224	0.013103	0.016908	150.953194	0.180840
